Config, Result
mirror/randrw/6/generaluse Read,14.333
mirror/randrw/6/generaluse Write,14.616
mirror/randrw/6/worstcase Read,.201
mirror/randrw/6/worstcase Write,.210
stripedmirror/read/4disk2vdev/bestcase,380.833
stripedmirror/read/4disk2vdev/generaluse,161.000
stripedmirror/read/4disk2vdev/worstcase,184.000
stripedmirror/read/5disk2vdev/bestcase,387.333
stripedmirror/read/5disk2vdev/generaluse,150.500
stripedmirror/read/5disk2vdev/worstcase,182.166
stripedmirror/read/6disk2vdev/bestcase,554.000
stripedmirror/read/6disk2vdev/generaluse,151.500
stripedmirror/read/6disk2vdev/worstcase,184.000
stripedmirror/read/6disk2vdevUneven/bestcase,371.666
stripedmirror/read/6disk2vdevUneven/generaluse,161.500
stripedmirror/read/6disk2vdevUneven/worstcase,183.000
stripedmirror/read/6disk3vdev/bestcase,536.666
stripedmirror/read/6disk3vdev/generaluse,218.000
stripedmirror/read/6disk3vdev/worstcase,183.000
stripedmirror/write/4disk2vdev/bestcase,157.833
stripedmirror/write/4disk2vdev/generaluse,104.333
stripedmirror/write/4disk2vdev/worstcase,73.750
stripedmirror/write/5disk2vdev/bestcase,157.833
stripedmirror/write/5disk2vdev/generaluse,104.000
stripedmirror/write/5disk2vdev/worstcase,73.566
stripedmirror/write/6disk2vdev/bestcase,154.833
stripedmirror/write/6disk2vdev/generaluse,103.666
stripedmirror/write/6disk2vdev/worstcase,73.316
stripedmirror/write/6disk2vdevUneven/bestcase,154.500
stripedmirror/write/6disk2vdevUneven/generaluse,101.316
stripedmirror/write/6disk2vdevUneven/worstcase,73.516
stripedmirror/write/6disk3vdev/bestcase,196.000
stripedmirror/write/6disk3vdev/generaluse,125.833
stripedmirror/write/6disk3vdev/worstcase,78.500
stripedmirror/rw/4disk2vdev/bestcase Read,120.333
stripedmirror/rw/4disk2vdev/bestcase Write,121.000
stripedmirror/rw/4disk2vdev/generaluse Read,62.600
stripedmirror/rw/4disk2vdev/generaluse Write,63.066
stripedmirror/rw/4disk2vdev/worstcase Read,46.516
stripedmirror/rw/4disk2vdev/worstcase Write,46.450
stripedmirror/rw/5disk2vdev/bestcase Read,117.166
stripedmirror/rw/5disk2vdev/bestcase Write,118.000
stripedmirror/rw/5disk2vdev/generaluse Read,63.766
stripedmirror/rw/5disk2vdev/generaluse Write,64.250
stripedmirror/rw/5disk2vdev/worstcase Read,45.933
stripedmirror/rw/5disk2vdev/worstcase Write,45.866
stripedmirror/rw/6disk2vdev/bestcase Read,118.833
stripedmirror/rw/6disk2vdev/bestcase Write,119.166
stripedmirror/rw/6disk2vdev/generaluse Read,66.500
stripedmirror/rw/6disk2vdev/generaluse Write,66.966
stripedmirror/rw/6disk2vdev/worstcase Read,45.200
stripedmirror/rw/6disk2vdev/worstcase Write,45.133
stripedmirror/rw/6disk2vdevUneven/bestcase Read,117.166
stripedmirror/rw/6disk2vdevUneven/bestcase Write,118.000
stripedmirror/rw/6disk2vdevUneven/generaluse Read,62.800
stripedmirror/rw/6disk2vdevUneven/generaluse Write,63.200
stripedmirror/rw/6disk2vdevUneven/worstcase Read,45.933
stripedmirror/rw/6disk2vdevUneven/worstcase Write,45.866
stripedmirror/rw/6disk3vdev/bestcase Read,142.333
stripedmirror/rw/6disk3vdev/bestcase Write,142.333
stripedmirror/rw/6disk3vdev/generaluse Read,84.050
stripedmirror/rw/6disk3vdev/generaluse Write,84.900
stripedmirror/rw/6disk3vdev/worstcase Read,50.383
stripedmirror/rw/6disk3vdev/worstcase Write,50.300
stripedmirror/randread/4disk2vdev/bestcase,58.750
stripedmirror/randread/4disk2vdev/generaluse,37.016
stripedmirror/randread/4disk2vdev/worstcase,.450
stripedmirror/randread/5disk2vdev/bestcase,58.516
stripedmirror/randread/5disk2vdev/generaluse,43.850
stripedmirror/randread/5disk2vdev/worstcase,.458
stripedmirror/randread/6disk2vdev/bestcase,58.900
stripedmirror/randread/6disk2vdev/generaluse,48.650
stripedmirror/randread/6disk2vdev/worstcase,.468
stripedmirror/randread/6disk2vdevUneven/bestcase,56.266
stripedmirror/randread/6disk2vdevUneven/generaluse,43.750
stripedmirror/randread/6disk2vdevUneven/worstcase,.468
stripedmirror/randread/6disk3vdev/bestcase,59.700
stripedmirror/randread/6disk3vdev/generaluse,52.883
stripedmirror/randread/6disk3vdev/worstcase,.482
stripedmirror/randwrite/4disk2vdev/bestcase,153.833
stripedmirror/randwrite/4disk2vdev/generaluse,39.683
stripedmirror/randwrite/4disk2vdev/worstcase,1.447
stripedmirror/randwrite/5disk2vdev/bestcase,150.500
stripedmirror/randwrite/5disk2vdev/generaluse,40.450
stripedmirror/randwrite/5disk2vdev/worstcase,1.460
stripedmirror/randwrite/6disk2vdev/bestcase,149.333
stripedmirror/randwrite/6disk2vdev/generaluse,41.933
stripedmirror/randwrite/6disk2vdev/worstcase,1.470
stripedmirror/randwrite/6disk2vdevUneven/bestcase,149.333
stripedmirror/randwrite/6disk2vdevUneven/generaluse,41.000
stripedmirror/randwrite/6disk2vdevUneven/worstcase,1.466
stripedmirror/randwrite/6disk3vdev/bestcase,186.500
stripedmirror/randwrite/6disk3vdev/generaluse,48.533
stripedmirror/randwrite/6disk3vdev/worstcase,1.553
stripedmirror/randrw/4disk2vdev/bestcase Read,41.733
stripedmirror/randrw/4disk2vdev/bestcase Write,43.450
stripedmirror/randrw/4disk2vdev/generaluse Read,14.600
stripedmirror/randrw/4disk2vdev/generaluse Write,14.816
stripedmirror/randrw/4disk2vdev/worstcase Read,.207
stripedmirror/randrw/4disk2vdev/worstcase Write,.215
stripedmirror/randrw/5disk2vdev/bestcase Read,40.850
stripedmirror/randrw/5disk2vdev/bestcase Write,42.566
stripedmirror/randrw/5disk2vdev/generaluse Read,15.350
stripedmirror/randrw/5disk2vdev/generaluse Write,15.616
stripedmirror/randrw/5disk2vdev/worstcase Read,.213
stripedmirror/randrw/5disk2vdev/worstcase Write,.221
stripedmirror/randrw/6disk2vdev/bestcase Read,40.816
stripedmirror/randrw/6disk2vdev/bestcase Write,42.466
stripedmirror/randrw/6disk2vdev/generaluse Read,17.383
stripedmirror/randrw/6disk2vdev/generaluse Write,17.583
stripedmirror/randrw/6disk2vdev/worstcase Read,.222
stripedmirror/randrw/6disk2vdev/worstcase Write,.230
stripedmirror/randrw/6disk2vdevUneven/bestcase Read,41.100
stripedmirror/randrw/6disk2vdevUneven/bestcase Write,42.733
stripedmirror/randrw/6disk2vdevUneven/generaluse Read,15.816
stripedmirror/randrw/6disk2vdevUneven/generaluse Write,16.100
stripedmirror/randrw/6disk2vdevUneven/worstcase Read,.221
stripedmirror/randrw/6disk2vdevUneven/worstcase Write,.229
stripedmirror/randrw/6disk3vdev/bestcase Read,43.716
stripedmirror/randrw/6disk3vdev/bestcase Write,45.616
stripedmirror/randrw/6disk3vdev/generaluse Read,19.066
stripedmirror/randrw/6disk3vdev/generaluse Write,19.216
stripedmirror/randrw/6disk3vdev/worstcase Read,.224
stripedmirror/randrw/6disk3vdev/worstcase Write,.231
raidz/read/2/bestcase,181.500
raidz/read/2/generaluse,94.433
raidz/read/2/worstcase,181.333
raidz/read/3/bestcase,336.333
raidz/read/3/generaluse,171.500
raidz/read/3/worstcase,172.000
raidz/read/4/bestcase,443.166
raidz/read/4/generaluse,214.333
raidz/read/4/worstcase,166.000
raidz/read/5/bestcase,533.500
raidz/read/5/generaluse,289.333
raidz/read/5/worstcase,155.833
raidz/read/6/bestcase,487.666
raidz/read/6/generaluse,340.833
raidz/read/6/worstcase,153.000
raidz/read/4disk2vdev/bestcase,340.000
raidz/read/4disk2vdev/generaluse,247.500
raidz/read/4disk2vdev/worstcase,184.666
raidz/read/5disk2vdev/bestcase,465.000
raidz/read/5disk2vdev/generaluse,203.500
raidz/read/5disk2vdev/worstcase,180.666
raidz/read/6disk2vdev/bestcase,547.166
raidz/read/6disk2vdev/generaluse,282.833
raidz/read/6disk2vdev/worstcase,175.000
raidz/read/6disk2vdevUneven/bestcase,505.333
raidz/read/6disk2vdevUneven/generaluse,247.166
raidz/read/6disk2vdevUneven/worstcase,172.500
raidz/read/6disk3vdev/bestcase,463.500
raidz/read/6disk3vdev/generaluse,250.833
raidz/read/6disk3vdev/worstcase,182.333
raidz/write/2/bestcase,113.666
raidz/write/2/generaluse,77.316
raidz/write/2/worstcase,66.450
raidz/write/3/bestcase,150.333
raidz/write/3/generaluse,97.083
raidz/write/3/worstcase,72.433
raidz/write/4/bestcase,176.000
raidz/write/4/generaluse,107.500
raidz/write/4/worstcase,75.416
raidz/write/5/bestcase,189.666
raidz/write/5/generaluse,125.500
raidz/write/5/worstcase,77.800
raidz/write/6/bestcase,197.166
raidz/write/6/generaluse,127.333
raidz/write/6/worstcase,77.833
raidz/write/4disk2vdev/bestcase,168.833
raidz/write/4disk2vdev/generaluse,104.666
raidz/write/4disk2vdev/worstcase,74.983
raidz/write/5disk2vdev/bestcase,191.333
raidz/write/5disk2vdev/generaluse,119.000
raidz/write/5disk2vdev/worstcase,77.716
raidz/write/6disk2vdev/bestcase,208.833
raidz/write/6disk2vdev/generaluse,133.666
raidz/write/6disk2vdev/worstcase,80.466
